Term,es,nes,pval,fdr,gene_set_size,matched_size,genes
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932,-0.4338844251082249,-1.621046352189311,0.03162055335968379,0.07494254376770565,151,147,"JUN,COX7A1,ADIPOQ,MAPK10,SOCS3,CXCL8,ATF4,PIK3CD,CDC42,IL1B,AKT3,EIF2S1,AKT1,XBP1,LEPR,COX3,IL6,TGFB1,NDUFA4,PIK3R3,DDIT3,PRKAA2,AKT2,SDHD,RELA,PIK3CG,INS,PIK3R5,IKBKB,COX8C,NDUFA11,IRS1,COX4I2,TNFRSF1A,PIK3CA,NDUFB4,COX7B2,IRS2,COX6A2,ERN1,UQCRB,LEP,PIK3R1,FASLG,NDUFB11,GSK3A,NDUFB6,NDUFS5,PIK3R2,NDUFV3,NDUFS4,NDUFA12,MLXIPL,CYP2E1,TRAF2,PRKAG1,MAP3K5,NDUFA5,NDUFA2,GSK3B,SREBF1,NFKB1,NDUFA4L2,PIK3CB,COX2,PRKAG3,COX7A2L,SDHB,MAP3K11,MAPK8,NDUFB8,NDUFS7,EIF2AK3,MAPK9,ADIPOR1,TNF,BID,NDUFB2,CASP8,NDUFA3,COX6B2,NDUFB10,PKLR,PRKAA1,BAX,NDUFV2,NDUFA7,FAS,NDUFS3,NDUFB1,NDUFA13,BCL2L11,PRKAG2,NR1H3,NDUFB7,UQCRH,NDUFA10,COX1,COX8A,NDUFS6,NDUFV1,IL1A,NDUFB9,UQCR11,MLXIP,COX6B1,UQCRC2,INSR,NDUFAB1,COX7B,CYC1,NDUFA9,PRKAB2,UQCRC1,NDUFA8,ADIPOR2,COX4I1,PRKAB1,SDHC,RXRA,NDUFA1,COX7A2,CYCS,NDUFS1,NDUFB5,NDUFA6,MLX,RAC1,UQCR10,CEBPA,UQCRQ,NDUFC2,CASP7,NDUFB3,UQCRFS1,COX6A1,PPARA,COX6C,COX7C,COX5A,NDUFS2,SDHA,IL6R,CASP3,ITCH,COX5B,NDUFC1"
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis_Homo sapiens_hsa00563,-0.5929759449900655,-1.6081227888371994,0.031683168316831684,0.07880094951894567,25,25,"PIGK,PIGG,PIGP,PIGC,PIGH,PIGA,PIGQ,GPLD1,PIGW,PIGT,PIGU,DPM2,PIGX,PIGS,PIGY,PIGM,GPAA1,PGAP1,PIGZ,PIGB,PIGN,PIGL,PIGO,PIGF,PIGV"
Proximal tubule bicarbonate reclamation_Homo sapiens_hsa04964,-0.5966870965950458,-1.610794145536061,0.034552845528455285,0.07924361533592753,23,23,"ATP1A2,AQP1,ATP1A3,ATP1B2,FXYD2,SLC38A3,GLUD2,ATP1A4,ATP1B4,GLUD1,GLS,MDH1,GLS2,ATP1B1,CA4,ATP1B3,ATP1A1,PCK1,SLC25A10,SLC9A3,PCK2,CA2,SLC4A4"
Porphyrin and chlorophyll metabolism_Homo sapiens_hsa00860,-0.5411890342775645,-1.5962165955943681,0.052845528455284556,0.08429232192414432,42,31,"BLVRA,CP,ALAS2,MMAB,UGT1A6,PPOX,COX10,UGT2A1,HMOX2,UGT2B17,UROD,FECH,UROS,UGT2B4,HMBS,CPOX,EPRS,EARS2,UGT2B15,GUSB,FXN,HEPH,BLVRB,ALAD,COX15,UGT2B28,ALAS1,HMOX1,UGT2A3,HCCS,UGT1A1"
Biosynthesis of amino acids_Homo sapiens_hsa01230,-0.46762866666392594,-1.5865555602493226,0.03441295546558704,0.08624933500049133,74,69,"PHGDH,ENO2,BCAT1,PRPS1,PFKM,MTR,ALDOC,ACY1,PFKP,PSAT1,PRPS1L1,PSPH,PGAM1,MAT2A,ARG1,TKTL1,AADAT,PKM,GLUL,TKTL2,PYCRL,SHMT1,PGAM2,MAT1A,CPS1,ACO2,SHMT2,TPI1,ENO3,ASS1,TKT,ACO1,ENO1,RPIA,ARG2,IDH2,MAT2B,GOT2,SDS,PKLR,IDH3A,PGK2,NAGS,CBS,PGK1,PRPS2,PYCR1,BCAT2,ALDOA,TALDO1,IDH3G,PC,GPT2,ALDH7A1,OTC,PFKL,ALDOB,GAPDH,GPT,IDH3B,ASL,RPE,TAT,GOT1,CS,SDSL,CTH,ALDH18A1,IDH1"
PPAR signaling pathway_Homo sapiens_hsa03320,-0.4683141349266891,-1.5877989459993338,0.027833001988071572,0.0875157287828482,69,68,"FABP4,ADIPOQ,PLTP,SORBS1,ILK,ANGPTL4,LPL,CYP7A1,SLC27A1,SLC27A6,CPT1C,ACSL6,SCD5,PLIN1,ACSBG1,ACADL,FADS2,FABP3,SLC27A5,ACSL4,UBC,APOA1,GK2,RXRG,OLR1,RXRB,APOA5,FABP7,ACSL1,APOC3,CD36,CYP8B1,ME1,UCP1,FABP6,APOA2,ACSBG2,ACOX2,FABP2,ACSL3,NR1H3,CYP27A1,MMP1,FABP1,PDPK1,SLC27A4,SCD,PPARD,PCK1,FABP5,ACOX3,AQP7,RXRA,PCK2,ACSL5,GK,ACOX1,SLC27A2,ACAA1,CPT1A,PPARA,SCP2,ACADM,EHHADH,HMGCS2,PPARG,DBI,CPT2"
Mineral absorption_Homo sapiens_hsa04978,-0.5461411079336324,-1.5499454916681403,0.07692307692307693,0.1055455142041636,51,49,"ATP1A2,CYBRD1,SLC8A1,ATP7A,SLC6A19,TF,SLC26A6,S100G,ATOX1,ATP1A3,TRPV6,SLC26A9,ATP1B2,MT1G,FXYD2,SLC34A2,SLC40A1,MT2A,MT1M,SLC46A1,MT1H,MT1X,HMOX2,MT1E,SLC11A1,MT1F,ATP1A4,FTL,ATP1B4,TRPM7,HEPH,ATP1B1,ATP1B3,ATP1A1,SLC5A1,SLC11A2,SLC26A3,SLC9A3,ATP2B1,FTH1,TRPM6,SLC31A1,CLCN2,SLC39A4,SLC30A1,STEAP2,HMOX1,STEAP1,VDR"
Cysteine and methionine metabolism_Homo sapiens_hsa00270,-0.46510020810105707,-1.5539980569839602,0.04073319755600815,0.10717268016925958,45,44,"BHMT2,SRM,BCAT1,CDO1,LDHB,DNMT3A,MTR,DNMT1,ENOPH1,MAT2A,LDHAL6A,MAT1A,MTAP,AGXT2,SMS,MRI1,AHCYL1,IL4I1,APIP,BHMT,ADI1,MAT2B,GOT2,SDS,CBS,MDH1,LDHAL6B,BCAT2,GCLC,AMD1,LDHA,DNMT3B,MPST,GSS,AHCY,GCLM,TAT,GOT1,LDHC,TST,MDH2,AHCYL2,SDSL,CTH"
Arginine and proline metabolism_Homo sapiens_hsa00330,-0.43966116840934294,-1.549982153590068,0.028901734104046242,0.10792260468486187,50,46,"SRM,NOS1,ODC1,CNDP1,CKM,SAT2,GAMT,MAOB,GATM,ALDH1B1,ARG1,NOS3,CKB,PYCRL,CKMT2,CNDP2,LOC102724788,LAP3,SMS,P4HA1,P4HA3,L3HYPDH,PRODH2,HOGA1,ARG2,SMOX,ALDH4A1,DAO,NOS2,GOT2,OAT,CARNS1,SAT1,PYCR1,AZIN2,AMD1,AOC1,ALDH7A1,ALDH9A1,AGMAT,CKMT1A,GOT1,ALDH2,MAOA,ALDH3A2,ALDH18A1"
Glycosphingolipid biosynthesis - lacto and neolacto series_Homo sapiens_hsa00601,-0.4802335065869616,-1.5362723795106872,0.04263565891472868,0.11063012213641063,26,26,"B3GALT2,ST3GAL3,B4GALT2,ST3GAL6,ST8SIA1,FUT5,ST3GAL4,B3GNT1,FUT9,FUT7,B4GALT1,B3GALT1,B3GNT4,FUT1,B4GALT3,B3GNT2,ABO,B3GALT5,B3GNT3,GCNT2,B3GNT5,FUT3,FUT2,FUT6,FUT4,B4GALT4"
SNARE interactions in vesicular transport_Homo sapiens_hsa04130,-0.47116178132995584,-1.5383397413111486,0.035781544256120526,0.1117291990879249,34,34,"VAMP1,STX2,VAMP2,STX11,STX8,VAMP4,SEC22B,STX1A,STX6,STX7,STX10,BET1,STX16,STX1B,STX5,GOSR1,VAMP5,GOSR2,SNAP29,VAMP3,STX18,BET1L,VAMP7,STX17,STX4,SNAP23,VTI1A,USE1,VAMP8,BNIP1,VTI1B,STX3,YKT6,STX19"
TNF signaling pathway_Homo sapiens_hsa04668,0.428189776696475,1.65339638186464,0.010121457489878543,0.11262354108740763,110,109,"FOS,JUN,CEBPB,JUNB,CCL2,PTGS2,VEGFC,MAPK10,SOCS3,MAP3K14,CX3CL1,CREB5,ATF4,PIK3CD,ICAM1,TNFAIP3,TNFRSF1B,VCAM1,MMP9,IL1B,BIRC3,CXCL1,AKT3,AKT1,MAP3K8,IL6,TRAF5,PIK3R3,IL18R1,CSF2,CREB3L2,CXCL2,MAP2K1,AKT2,RELA,SELE,CCL20,PIK3CG,PIK3R5,MAPK11,IKBKB,MMP14,IKBKG,CXCL3,CXCL10,TNFRSF1A,PIK3CA,MMP3,NOD2,MLKL,BAG4,NFKBIA,PIK3R1,DAB2IP,ATF6B,CCL5,PIK3R2,JAG1,RPS6KA5,TRAF1,CREB1,TRAF2,TRADD,MAP3K5,PGAM5,MAPK12,CXCL5,MAP3K7,NFKB1,RPS6KA4,PIK3CB,CREB3L3,DNM1L,MAPK8,CHUK,MAPK9,LTA,CREB3,ATF2,TNF,TAB2,LIF,TAB1,CASP8,BCL3,TAB3,MAP2K7,CFLAR,TRAF3,CSF1,MAPK3,CREB3L4,EDN1,CREB3L1,FAS,BIRC2,RIPK3,MAPK14,MAP2K6,RIPK1,MAPK1,MAP2K4,IL15,CASP10,FADD,MAPK13,CASP7,CASP3,ITCH"
Proteoglycans in cancer_Homo sapiens_hsa05205,0.36852235317532805,1.645963213617193,0.006211180124223602,0.11359205572801126,203,198,"DCN,FLNA,FZD2,CAV1,TIMP3,FGF2,ITGA5,SDC2,FN1,DDX5,IGF2,CAV2,MSN,LUM,ITPR1,WNT2B,FLNC,HBEGF,EIF4B,FGFR1,MYC,IGF1,PIK3CD,RRAS,MIR21,MRAS,FZD7,HSPB2,FZD10,TWIST1,HCLS1,ARHGEF1,PPP1R12A,MMP9,CTSL,RDX,WNT4,CDC42,COL21A1,ROCK1,ANK2,CAMK2B,PPP1R12B,RHOA,WNT9A,AKT3,GPC1,AKT1,FZD3,PRKCB,MMP2,TGFB1,ARAF,PTPN6,PIK3R3,TGFB2,CAMK2G,HIF1A,TWIST2,WNT11,CD44,MAP2K1,AKT2,GRB2,PPP1R12C,PTCH1,WNT5B,PIK3CG,PIK3R5,FZD4,MAPK11,THBS1,ELK1,PLCG2,RPS6,CTNNB1,CAV3,PRKACG,PRKCG,PDCD4,ITGAV,FZD9,PIK3CA,ITPR2,PLCG1,CD63,WNT9B,PIK3R1,TLR2,PLAU,RPS6KB1,FZD8,HSPG2,FASLG,TIAM1,ITGB1,HGF,CBLB,SLC9A1,NANOG,WNT7B,ESR1,PIK3R2,WNT1,WNT10B,TFAP4,WNT6,STAT3,FZD6,RPS6KB2,ACTB,PPP1CB,CCND1,GPC3,KDR,ANK1,MAPK12,WNT7A,HRAS,HPSE2,HOXD10,TP53,PXN,WNT16,CTTN,ARHGEF12,DROSHA,WNT10A,IL12B,PIK3CB,SMO,PRKACA,TLR4,PRKCA,MAP2K2,ITGB3,BRAF,PTPN11,PLAUR,CBL,PTK2,FZD1,KRAS,MDM2,SOS1,RAF1,ROCK2,TNF,WNT2,WNT8A,IGF1R,SDC4,MIR10A,ERBB4,CDKN1A,MAPK3,MTOR,WNT8B,VEGFA,CAMK2A,VAV2,PPP1CA,SRC,FAS,ITGB5,CAMK2D,FRS2,PPP1CC,MAPK14,NUDT16L1,CBLC,SMAD2,MAPK1,PDPK1,EGFR,EZR,PLCE1,ITPR3,WNT5A,SOS2,RRAS2,HPSE,GAB1,ERBB2,SDC1,MET,NRAS,IQGAP1,FZD5,RAC1,PAK1,ERBB3,PRKACB,ANK3,MAPK13,FLNB,CASP3,ITGA2"
Colorectal cancer_Homo sapiens_hsa05210,0.4359128609499244,1.6587623015753914,0.004140786749482402,0.11493232710519803,62,62,"FOS,JUN,TCF7L1,MAPK10,MYC,PIK3CD,TGFBR2,RAC2,RALGDS,RHOA,AKT3,AKT1,TGFB1,ARAF,PIK3R3,TCF7,TGFB2,MAP2K1,AKT2,MSH6,TGFBR1,APC2,TGFB3,PIK3CG,PIK3R5,MLH1,DCC,CTNNB1,PIK3CA,BCL2,PIK3R1,SMAD4,CASP9,PIK3R2,AXIN1,RAC3,CCND1,MSH2,TP53,GSK3B,PIK3CB,SMAD3,BRAF,AXIN2,LEF1,MAPK8,KRAS,MAPK9,RAF1,MAPK3,BAX,MSH3,APC,BAD,APPL1,SMAD2,MAPK1,BIRC5,TCF7L2,CYCS,RAC1,CASP3"
Oxytocin signaling pathway_Homo sapiens_hsa04921,0.3872711061606366,1.660692922793226,0.002105263157894737,0.11956060382372481,158,152,"FOS,JUN,GUCY1B3,RGS2,PTGS2,GUCY1A3,GNAI2,RYR3,NFATC1,ITPR1,GNAO1,MYL9,PIK3CD,MYLK,CACNA2D1,PPP1R12A,CACNA1C,KCNJ12,NFATC4,ADCY4,PLCB1,ADCY5,GUCY1A2,ADCY3,NPR1,NFATC2,ROCK1,CAMK2B,PPP1R12B,RHOA,RYR2,MYLK2,NPR2,PRKCB,MEF2C,PIK3R3,PLA2G4D,CAMK2G,CACNA2D3,PRKAA2,PPP3CB,MAP2K1,ADCY2,CAMK1,CACNG3,MYL6B,PPP1R12C,PPP3CA,ADCY7,EEF2,PIK3CG,PIK3R5,KCNJ9,CACNB4,ELK1,GNAS,JMJD7-PLA2G4B,PRKACG,RYR1,PRKCG,CACNB2,OXT,CACNG6,ADCY8,CALML6,PIK3CA,ITPR2,MYL6,TRPM2,NFATC3,PIK3R1,NOS3,ADCY1,PLA2G4C,PLCB2,CALM1,KCNJ3,PIK3R2,CACNG1,KCNJ14,CACNG2,CAMK1D,CACNG8,ACTB,PPP1CB,CACNB3,CCND1,PRKAG1,CALML5,ADCY9,HRAS,CACNA1S,CD38,MAPK7,CAMKK1,PLA2G4A,PIK3CB,KCNJ5,PRKACA,CAMK4,PRKAG3,PRKCA,MAP2K2,CALML3,EEF2K,CACNG7,KRAS,MYLK4,CAMK1G,RAF1,CACNA1D,ROCK2,PLA2G4F,OXTR,PLCB3,KCNJ6,RCAN1,CACNA2D2,KCNJ4,PRKAA1,CACNA2D4,CDKN1A,MAPK3,PPP3CC,GNAQ,CAMK2A,CACNG5,MYLK3,GNAI1,PPP1CA,PPP3R2,SRC,CAMK2D,PRKAG2,PPP3R1,CACNB1,CACNA1F,PPP1CC,CACNG4,PLCB4,CAMKK2,MAP2K5,GNAI3,MAPK1,EGFR,ITPR3,PRKAB2,KCNJ2,PRKAB1,NRAS,PRKACB,ADCY6"
MAPK signaling pathway_Homo sapiens_hsa04010,0.3502808742800733,1.6751374444315161,0.0,0.12001919244113089,255,250,"FOS,JUN,DUSP1,FLNA,FGF13,NR4A1,ZAK,FGF2,DUSP6,MAPK10,PDGFRB,FGF7,NFATC1,DUSP10,MAP3K14,FLNC,HSPA6,DUSP2,FGFR1,MYC,PDGFB,ATF4,CDC25B,MAP3K4,RRAS,MRAS,FGF1,MAPT,DUSP5,RASGRP3,CACNA2D1,TGFBR2,NTF3,CACNA1C,FGF23,RASGRF2,CDC42,IL1B,RAC2,BDNF,SRF,CACNA1E,MAPK8IP2,AKT3,HSPA2,HSPB1,RASGRP4,AKT1,GNA12,DUSP4,CACNA1B,MAP3K8,PRKCB,MEF2C,PPP5C,TGFB1,RASGRP2,MAP4K4,HSPA1L,RASGRP1,MAP4K1,PLA2G4D,TGFB2,RPS6KA2,MAPKAPK2,DDIT3,NFKB2,CACNA2D3,MAP3K1,PPP3CB,NGF,FGF3,PPP5D1,MAP2K1,AKT2,MAP3K12,GRB2,RAP1A,TGFBR1,MAP4K2,CACNG3,RELA,STK4,PPP3CA,TGFB3,CD14,ARRB2,FGF4,CACNA1H,CACNA1I,MAP3K6,PTPN7,MAPK11,DUSP7,IKBKB,IKBKG,JUND,CACNB4,ELK1,GADD45B,JMJD7-PLA2G4B,PRKACG,PRKCG,MAP3K3,CACNB2,CACNG6,PDGFRA,DUSP8,FGF14,TNFRSF1A,STK3,MKNK1,FGF19,NFATC3,RASA2,DUSP9,NTRK1,FASLG,PLA2G4C,MKNK2,CACNG1,FGF10,MAPK8IP3,CACNG2,NTRK2,RPS6KA5,FGF8,DAXX,RAC3,TRAF2,RAP1B,CACNG8,STMN1,CACNB3,TAOK1,FGF6,MAP3K5,FGF16,PTPN5,FGF18,NF1,RAPGEF2,RELB,MAPK12,HRAS,CACNA1S,FGF20,TP53,MAPK7,PLA2G4A,GADD45A,MAP3K7,NFKB1,RPS6KA4,FGF12,PRKACA,IL1R1,FGF17,PRKCA,MAP2K2,ELK4,BRAF,MAP3K11,MAPKAPK3,DUSP3,CACNA1A,TAOK3,FGF5,MAPK8,CHUK,CACNG7,KRAS,MAPK9,MECOM,PAK2,ATF2,MAP4K3,SOS1,RAF1,EGF,CACNA1D,TNF,PLA2G4F,TAB2,MOS,RASGRF1,RASA1,RPS6KA1,TAB1,GADD45G,FGF21,HSPA8,MAP2K7,TAOK2,CACNA2D2,MAP3K2,FGFR3,CACNA2D4,MAPK3,PPP3CC,DUSP16,MAPK8IP1,CACNG5,MAX,PPP3R2,FAS,PPP3R1,CACNB1,CACNA1F,PDGFA,CACNG4,MAPK14,FGFR4,FGF11,MAP2K5,MAP2K6,PPM1B,CACNA1G,MAPKAPK5,MAPK1,ARRB1,FGF22,FGFR2,IL1A,ECSIT,FGF9,LAMTOR3,TRAF6,EGFR,MAP2K4,SOS2,RRAS2,RPS6KA3,CRKL,IL1R2,PPM1A,NRAS,RAC1,PAK1,PRKACB,MAPK13,FLNB,GNG12,PTPRR,CRK,HSPA1A,NLK,CASP3,MAP3K13,RPS6KA6"
Pertussis_Homo sapiens_hsa05133,0.477180042923624,1.6617654794473495,0.018711018711018712,0.12606382716960704,75,71,"FOS,JUN,SERPING1,C1R,C1S,ITGA5,MAPK10,GNAI2,CFL2,C3,CXCL8,ITGAM,C5,IL1B,C1QA,C4A,IRF8,ITGB2,LY96,RHOA,IRF3,C1QC,IL6,C1QB,C2,RELA,NOD1,CD14,MAPK11,TICAM2,IL23A,CALML6,IL12A,IL10,ITGB1,CALM1,NLRP3,CALML5,MAPK12,CXCL5,NFKB1,IL12B,TLR4,CALML3,MAPK8,IRAK1,MAPK9,TIRAP,TNF,SFTPA1,NOS2,CFL1,MAPK3,GNAI1,TICAM1,IRF1,MYD88,CXCL6,MAPK14,C4BPA,GNAI3,MAPK1,IL1A,TRAF6,CASP1,PYCARD,IRAK4,C4BPB,MAPK13,CASP7,CASP3"
Gap junction_Homo sapiens_hsa04540,0.4151533225692497,1.6766155392100137,0.008298755186721992,0.12699377097398798,88,85,"TUBA1A,TUBB6,GUCY1B3,TUBB2B,TUBB2A,LPAR1,TUBB,GUCY1A3,GNAI2,PDGFRB,ITPR1,TUBA1C,PDGFB,HTR2A,TUBA3C,ADCY4,PLCB1,ADCY5,GUCY1A2,ADCY3,GJA1,TUBA1B,ADRB1,PRKCB,TUBB3,PDGFC,MAP2K1,ADCY2,GRB2,HTR2B,ADCY7,TUBB4A,GNAS,PRKACG,PRKCG,PDGFRA,ADCY8,TUBB4B,ITPR2,GRM5,TUBA4A,ADCY1,PLCB2,TUBA8,DRD1,TJP1,ADCY9,HRAS,PRKG1,MAPK7,CSNK1D,PRKACA,PRKCA,MAP2K2,KRAS,GRM1,SOS1,RAF1,EGF,PDGFD,TUBB1,GJD2,HTR2C,PLCB3,MAP3K2,MAPK3,GNAQ,GNAI1,SRC,DRD2,PDGFA,PLCB4,MAP2K5,GNAI3,MAPK1,GNA11,EGFR,ITPR3,CDK1,SOS2,PRKG2,NRAS,PRKACB,TUBAL3,ADCY6"
Arginine biosynthesis_Homo sapiens_hsa00220,-0.5170303914948939,-1.509156429254491,0.06212424849699399,0.12722855313049578,20,20,"NOS1,ACY1,ARG1,NOS3,GLUL,CPS1,ASS1,GLUD2,ARG2,NOS2,GOT2,NAGS,GLUD1,GLS,GLS2,GPT2,OTC,GPT,ASL,GOT1"
Steroid hormone biosynthesis_Homo sapiens_hsa00140,-0.46508881063646224,-1.5100506112058776,0.0814663951120163,0.1289852107497806,58,46,"CYP1B1,HSD17B6,CYP7A1,HSD11B1,COMT,CYP7B1,HSD17B7,CYP1A2,CYP17A1,CYP1A1,UGT1A6,SRD5A2,CYP11A1,HSD17B12,STS,CYP3A4,CYP2E1,CYP11B1,HSD17B1,UGT2A1,HSD3B1,CYP11B2,UGT2B17,HSD17B3,AKR1C2,UGT2B4,SULT1E1,CYP3A5,SRD5A3,CYP19A1,CYP3A7,AKR1D1,UGT2B15,AKR1C1,HSD3B2,SULT2B1,AKR1C4,HSD17B8,HSD11B2,CYP3A7-CYP3AP1,UGT2B28,HSD17B2,UGT2A3,UGT1A1,SRD5A1,AKR1C3"
Amphetamine addiction_Homo sapiens_hsa05031,0.39095405599837774,1.6834200721766372,0.0,0.12962771585344848,67,65,"FOS,FOSB,JUN,CREB5,ATF4,SIRT1,CACNA1C,ADCY5,CAMK2B,PRKCB,CAMK2G,PPP3CB,CREB3L2,PPP3CA,MAOB,GNAS,PRKACG,PRKCG,CALML6,PDYN,GRIA2,GRIA1,STX1A,ATF6B,CALM1,DRD1,CREB1,PPP1CB,CALML5,GRIA4,GRIN2D,SLC18A1,ARC,GRIN2A,PRKACA,CAMK4,PRKCA,CREB3L3,CALML3,CREB3,ATF2,CACNA1D,GRIN3A,SLC18A2,HDAC1,TH,GRIN2B,PPP3CC,CAMK2A,PPP1CA,PPP3R2,CREB3L4,GRIA3,CREB3L1,GRIN3B,SLC6A3,CAMK2D,GRIN2C,PPP3R1,GRIN1,PPP1CC,PPP1R1B,PRKACB,DDC,MAOA"
Osteoclast differentiation_Homo sapiens_hsa04380,0.4358353390721219,1.6229700640385656,0.03285420944558522,0.1316542407913191,132,131,"FOS,FOSB,JUN,JUNB,CTSK,FYN,SIRPA,MAPK10,SOCS3,MITF,NFATC1,MAP3K14,PIK3CD,SOCS1,LILRB1,TGFBR2,FCGR3B,FCGR2B,CSF1R,IL1B,LCP2,NFATC2,TYROBP,AKT3,AKT1,LCK,BTK,TGFB1,PIK3R3,NCF4,TGFB2,NFKB2,PPP3CB,LILRA1,MAP2K1,NCF2,AKT2,GRB2,CYLD,FCGR3A,TGFBR1,IFNGR1,RELA,PPP3CA,NCF1,SIRPG,LILRA2,PIK3CG,PIK3R5,MAPK11,IKBKB,TNFSF11,IFNAR2,IKBKG,JUND,PLCG2,CYBB,FOSL1,LILRA4,TNFRSF1A,TYK2,PIK3CA,LILRB3,LILRB2,NFKBIA,PIK3R1,TREM2,TEC,LILRB5,SPI1,ACP5,STAT2,IFNB1,LILRA6,PIK3R2,CREB1,TRAF2,FCGR1A,CALCR,FCGR2C,RELB,MAPK12,LILRA3,IFNG,CYBA,LILRB4,OSCAR,MAP3K7,BLNK,NFKB1,PIK3CB,CAMK4,IL1R1,IRF9,ITGB3,FCGR2A,MAPK8,CHUK,MAPK9,SYK,TNF,TAB2,TNFRSF11B,TAB1,FHL2,SIRPB1,MAP2K7,CSF1,MAPK3,PPP3CC,IFNGR2,PPP3R2,FOSL2,PPP3R1,GAB2,MAPK14,LILRA5,MAP2K6,SQSTM1,JAK1,NOX3,MAPK1,IL1A,TRAF6,IFNAR1,TNFRSF11A,STAT1,NOX1,RAC1,MAPK13,PPARG"
Sphingolipid metabolism_Homo sapiens_hsa00600,-0.4969323116717346,-1.4998025380678688,0.08653846153846154,0.13168291468013946,47,44,"DEGS1,PPAP2B,CERS1,SGMS1,CERS4,SPHK1,NEU2,ENPP7,CERS2,CERK,ARSA,B4GALT6,UGCG,GAL3ST1,KDSR,GLA,CERS5,ACER1,SMPD2,NEU3,ASAH1,CERS3,PPAP2A,NEU4,SPHK2,SGPP1,SPTLC1,GBA,DEGS2,SMPD1,SGPL1,CERS6,SPTLC2,GLB1,SPTLC3,ACER3,NEU1,SGMS2,PPAP2C,GALC,SMPD3,SGPP2,GBA2,UGT8"
Prion diseases_Homo sapiens_hsa05020,0.48866363764329523,1.6080294335502312,0.035196687370600416,0.13569458518155647,35,35,"EGR1,C7,FYN,PRNP,LAMC1,NCAM1,C5,IL1B,C1QA,C1QC,IL6,C1QB,NOTCH1,MAP2K1,STIP1,ELK1,C6,HSPA5,PRKACG,CCL5,C9,PRKACA,CASP12,C8G,MAP2K2,C8A,NCAM2,C8B,MAPK3,BAX,MAPK1,IL1A,SOD1,PRKACB,HSPA1A"
Pathogenic Escherichia coli infection_Homo sapiens_hsa05130,0.4541088140735241,1.601762294608112,0.033203125,0.13644862812559175,55,51,"TUBA1A,TUBB6,TUBB2B,TUBB2A,FYN,TUBB,TUBA1C,TLR5,HCLS1,TUBA3C,CDC42,ROCK1,TUBA1B,LY96,RHOA,WAS,TUBB3,ARPC1B,CD14,TUBB4A,CTNNB1,ABL1,TUBB4B,ARHGEF2,TUBA4A,YWHAQ,ITGB1,TUBA8,NCL,ACTB,ARPC2,ARPC5,CTTN,ARPC3,TLR4,PRKCA,ARPC5L,NCK2,TUBB1,ROCK2,CLDN1,ARPC4,YWHAZ,EZR,ARPC1A,KRT18,NCK1,CDH1,OCLN,WASL,TUBAL3"
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate_Homo sapiens_hsa00532,0.6584483013045922,1.6989253423808406,0.009900990099009901,0.13679043330626706,20,20,"CSGALNACT1,CHSY1,CHST3,CSGALNACT2,CHPF,CHST12,UST,CHST11,B3GALT6,DSE,CHST14,B3GAT3,B4GALT7,CHST7,CHSY3,XYLT1,CHPF2,CHST15,XYLT2,CHST13"
Estrogen signaling pathway_Homo sapiens_hsa04915,0.39112430095225714,1.6120640318442465,0.0,0.13791350747134315,99,96,"FOS,JUN,GNAI2,ITPR1,GABBR1,GNAO1,HBEGF,HSPA6,CREB5,ATF4,PIK3CD,FKBP5,MMP9,ADCY4,PLCB1,ADCY5,ADCY3,SHC3,AKT3,HSPA2,AKT1,MMP2,PIK3R3,HSPA1L,CREB3L2,MAP2K1,AKT2,ADCY2,GRB2,ADCY7,PIK3CG,PIK3R5,SHC2,KCNJ9,SHC4,HSP90AB1,GABBR2,GNAS,PRKACG,ADCY8,CALML6,PIK3CA,ITPR2,PIK3R1,NOS3,ADCY1,ATF6B,PLCB2,HSP90AA1,CALM1,KCNJ3,ESR1,PIK3R2,ESR2,OPRM1,CREB1,SHC1,CALML5,ADCY9,HRAS,HSP90B1,PIK3CB,KCNJ5,PRKACA,MAP2K2,CREB3L3,CALML3,KRAS,GRM1,CREB3,ATF2,SOS1,RAF1,PLCB3,KCNJ6,HSPA8,MAPK3,GNAQ,GPER1,GNAI1,FKBP4,CREB3L4,CREB3L1,SRC,SP1,PLCB4,GNAI3,MAPK1,EGFR,ITPR3,PRKCD,SOS2,NRAS,PRKACB,HSPA1A,ADCY6"
